,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
79,5105,5818,4873,3094,2790,6995,5712,6890,3956,3888,-1890,106,-2017,-862,-1098,-5761,dire,5460.0,6820.0,5300.0,5700.0,4954.0,6815.0,3014.0,3909.0,2773.0,4092.0
80,7517,6761,6443,4098,3743,8416,8480,6304,3620,4102,-899,-1719,139,478,-359,-2360,dire,7660.0,8197.0,6697.0,8114.0,6198.0,6219.0,3798.0,3645.0,3740.0,4030.0
81,8035,7849,6198,3686,4121,7236,8272,6870,3675,2984,799,-423,-672,11,1137,852,radiant,7896.0,7058.0,7708.0,8003.0,6005.0,6788.0,3789.0,3707.0,3897.0,3097.0
82,9535,7853,7124,5353,4373,5708,4907,4921,3715,3849,3827,2946,2203,1638,524,11138,radiant,9282.0,5644.0,7534.0,4948.0,7097.0,4796.0,5327.0,3816.0,4455.0,3835.0
83,7752,8550,6945,4827,4682,3915,3473,4044,1487,1970,3837,5077,2901,3340,2712,17867,radiant,7657.0,4212.0,8128.0,3599.0,6777.0,4201.0,4907.0,1674.0,4953.0,2191.0
84,7755,7588,5836,4587,4065,7206,6214,5041,2944,3050,549,1374,795,1643,1015,5376,radiant,7379.0,7109.0,7466.0,6124.0,5837.0,5143.0,4364.0,2935.0,4099.0,3278.0
85,9345,7981,8075,5074,4728,8476,6210,6509,5205,4147,869,1771,1566,-131,581,4656,radiant,8915.0,7994.0,7902.0,5691.0,8365.0,6078.0,5199.0,4782.0,4939.0,4036.0
86,6998,8108,5289,4484,4212,6858,6751,6282,3282,3236,140,1357,-993,1202,976,2682,radiant,6916.0,6554.0,8324.0,6684.0,5596.0,6005.0,4491.0,3311.0,4115.0,3396.0
87,9717,8139,7385,4413,3973,7696,8457,8758,4177,4023,2021,-318,-1373,236,-50,516,radiant,8943.0,7550.0,7719.0,8737.0,7017.0,8985.0,4582.0,4372.0,4025.0,4168.0
88,5327,5624,7514,3894,2640,5808,6386,4136,3002,2470,-481,-762,3378,892,170,3197,dire,5262.0,5689.0,5710.0,6452.0,7529.0,4148.0,3982.0,3101.0,2825.0,2646.0
