match_id,hero_id,lane,lane_role,gold_t,radiant_team,dire_team,radiant_win,team,max_g,pos
7592853213,4,3,1,"[0, 169, 756, 1136, 1587, 2011, 2344, 2946, 3267, 3477, 3640, 4223, 4976, 5527, 6002, 7045, 7881, 8685, 9462, 9556, 10378, 10964, 11226, 12217, 12508, 13185, 14249, 14343, 15138, 16996, 17605, 17705, 17805, 19654, 20539, 21093, 22269, 22864]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",False,dire,22864,1
7592853213,65,3,1,"[0, 169, 333, 471, 621, 751, 1202, 1467, 1867, 2111, 2519, 2687, 3074, 3317, 3515, 4699, 5182, 5399, 6032, 6290, 6429, 6807, 7086, 7753, 8355, 8501, 8921, 9230, 9579, 10404, 10747, 10866, 11028, 11528, 11808, 11957, 12564, 13188]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",False,dire,13188,5
7592853213,93,1,1,"[0, 287, 487, 773, 1181, 1394, 1748, 2168, 2591, 3167, 4100, 4650, 5169, 6002, 6327, 7431, 8144, 8789, 9377, 10017, 11058, 11728, 12143, 12496, 13855, 14469, 15533, 16618, 17028, 17314, 18227, 18914, 19796, 20084, 21383, 21680, 22350, 23137]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",True,radiant,23137,2
7592853213,33,1,1,"[0, 169, 259, 397, 532, 667, 1021, 1148, 1326, 1547, 1955, 2273, 2613, 2762, 2952, 3441, 3607, 4149, 4557, 5534, 5767, 6126, 6398, 6691, 7478, 7956, 8797, 9001, 9389, 9918, 10198, 10781, 11464, 12305, 12569, 13110, 13386, 13874]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",True,radiant,13874,4
7592853213,15,2,2,"[0, 254, 584, 826, 1197, 1528, 1898, 2096, 2559, 2780, 3502, 4535, 4947, 5322, 6003, 6492, 6934, 7798, 8577, 9150, 9794, 10462, 11638, 12356, 12937, 13555, 14585, 15900, 16381, 17693, 17951, 19374, 20388, 21467, 22222, 22748, 23536, 24689]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",True,radiant,24689,1
7592853213,21,3,3,"[0, 243, 367, 694, 1260, 1633, 2082, 2431, 3218, 3606, 3902, 4524, 4758, 5020, 5375, 5940, 6476, 7359, 8399, 9829, 10981, 11866, 12455, 12797, 13328, 14422, 15818, 16444, 17128, 17817, 18275, 18730, 19469, 20530, 20755, 21273, 21724, 22375]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",True,radiant,22375,3
7592853213,19,3,3,"[0, 217, 307, 397, 612, 747, 858, 999, 1177, 1563, 1895, 2315, 2482, 2752, 2981, 3157, 3572, 4428, 4523, 5041, 5493, 5743, 6177, 6316, 6663, 7063, 7712, 7916, 8517, 9234, 9588, 10076, 10694, 10907, 11365, 11600, 11700, 12139]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",True,radiant,12139,5
7593018617,123,1,3,"[0, 218, 406, 496, 717, 1165, 1255, 1545, 1720, 1994, 2248, 2764, 2944, 3480, 3763, 3858, 4154, 4823, 5188, 5346, 6145, 6479, 6735, 7327, 7851, 8646, 9297, 10458, 11180, 11621, 12354]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",True,dire,12354,4
7593018617,49,1,3,"[0, 209, 517, 682, 1214, 1625, 1938, 2558, 2935, 3412, 3666, 4090, 4880, 5591, 6404, 6949, 7447, 8374, 8468, 9234, 9881, 10743, 11676, 12298, 12913, 13628, 14435, 15413, 15949, 17008, 17738]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",True,dire,17738,2
7593018617,23,2,2,"[0, 279, 441, 617, 788, 1050, 1253, 1628, 1999, 2477, 2679, 3081, 3462, 4107, 4570, 5173, 5702, 6336, 6586, 7070, 7632, 7784, 8416, 8724, 9345, 10616, 11093, 13060, 13788, 14757, 15392]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",True,dire,15392,3
